Source,Target,Link
AB9871,7E5A53,1
AB9871,892B04,1
AB9871,BE54E4,1
AB9871,AB87B4,1
AB9871,03BA9C,1
AB9871,B074F6,1
AB9871,F32B5B,1
AB9871,D20189,1
AB9871,DD989D,1
AB9871,9A51A6,1
AB9871,9F1CBA,1
AB9871,47A039,1
AB9871,9A51A6,1
AB9871,892B04,1
AB9871,F1D9C2,1
AB9871,B34C23,1
AB9871,FCFE07,1
AB9871,DD989D,1
AB9871,90E91D,1
AB9871,36209E,1
AB9871,7A193D,1
AB9871,13D4CA,1
AB9871,8F8036,1
AB9871,90E91D,1
AB9871,13D4CA,1
AB9871,03BA9C,1
AB9871,B074F6,1
AB9871,90E91D,1
AB9871,9A51A6,1
AB9871,B074F6,1
AB9871,DD989D,1
AB9871,8DDDBE,1
AB9871,13D4CA,1
AB9871,8DDDBE,1
AB9871,FCFE07,1
AB9871,8F8036,1
AB9871,892B04,1
AB9871,13D4CA,1
AB9871,892B04,1
AB9871,7A9BF3,1
AB9871,13D4CA,1
AB9871,F32B5B,1
AB9871,F1D9C2,1
AB9871,8F8036,1
AB9871,9A51A6,1
AB9871,892B04,1
AB9871,90E91D,1
AB9871,36209E,1
AB9871,03BA9C,1
AB9871,7A9BF3,1
AB9871,782522,1
AB9871,899ABB,1
AB9871,47A039,1
AB9871,7F8D17,1
AB9871,13D4CA,1
AB9871,8DDDBE,1
AB9871,9F1CBA,1
AB9871,7E5A53,1
AB9871,B074F6,1
AB9871,B34C23,1
AB9871,7F8D17,1
AB9871,DD989D,1
AB9871,8F8036,1
AB9871,8F8036,1
AB9871,D20189,1
AB9871,36209E,1
AB9871,FCFE07,1
AB9871,B34C23,1
AB9871,8F8036,1
AB9871,9F1CBA,1
AB9871,8DDDBE,1
AB9871,60DDEA,1
AB9871,899ABB,1
AB9871,9A51A6,1
AB9871,9F1CBA,1
AB9871,7A9BF3,1
AB9871,D14347,1
AB9871,9F1CBA,1
AB9871,899ABB,1
AB9871,47A039,1
AB9871,782522,1
AB9871,F1D9C2,1
AB9871,166DD9,1
AB9871,7A9BF3,1
AB9871,892B04,1
AB9871,AB87B4,1
AB9871,FCFE07,1
AB9871,782522,1
AB9871,F1D9C2,1
AB9871,9F1CBA,1
AB9871,FCFE07,1
AB9871,D20189,1
AB9871,FCFE07,1
AB9871,DD989D,1
AB9871,B074F6,1
AB9871,03BA9C,1
AB9871,7A9BF3,1
AB9871,B074F6,1
AB9871,47A039,1
AB9871,892B04,1
AB9871,8DDDBE,1
AB9871,B34C23,1
AB9871,BE54E4,1
AB9871,7A9BF3,1
AB9871,8DDDBE,1
AB9871,7F8D17,1
AB9871,F1D9C2,1
AB9871,F1D9C2,1
AB9871,782522,1
AB9871,AB87B4,1
AB9871,8F8036,1
AB9871,BE54E4,1
AB9871,F32B5B,1
AB9871,D22045,1
AB9871,60DDEA,1
AB9871,AB87B4,1
AB9871,D20189,1
AB9871,DD989D,1
AB9871,782522,1
AB9871,899ABB,1
AB9871,8DDDBE,1
AB9871,FCFE07,1
AB9871,9A51A6,1
AB9871,9F1CBA,1
AB9871,9F1CBA,1
AB9871,D20189,1
AB9871,7A9BF3,1
AB9871,AB87B4,1
AB9871,03BA9C,1
AB9871,7A193D,1
AB9871,782522,1
AB9871,9A51A6,1
AB9871,BE54E4,1
AB9871,60DDEA,1
AB9871,166DD9,1
AB9871,F32B5B,1
AB9871,BE54E4,1
AB9871,90E91D,1
AB9871,899ABB,1
AB9871,899ABB,1
AB9871,D20189,1
AB9871,13D4CA,1
AB9871,9A51A6,1
AB9871,BE54E4,1
AB9871,9A51A6,1
AB9871,7E5A53,1
AB9871,899ABB,1
AB9871,8DDDBE,1
AB9871,166DD9,1
AB9871,47A039,1
AB9871,9F1CBA,1
AB9871,AB87B4,1
AB9871,899ABB,1
AB9871,B074F6,1
AB9871,90E91D,1
AB9871,7A193D,1
AB9871,7A9BF3,1
AB9871,D20189,1
AB9871,F32B5B,1
AB9871,7E5A53,1
AB9871,892B04,1
AB9871,7A9BF3,1
AB9871,F1D9C2,1
AB9871,B074F6,1
AB9871,166DD9,1
AB9871,36209E,1
AB9871,7A9BF3,1
AB9871,DD989D,1
AB9871,9F1CBA,1
AB9871,B34C23,1
AB9871,9F1CBA,1
AB9871,BE54E4,1
AB9871,8F8036,1
AB9871,36209E,1
AB9871,B34C23,1
AB9871,9A51A6,1
AB9871,36209E,1
AB9871,D22045,1
AB9871,D22045,1
AB9871,DD989D,1
AB9871,47A039,1
AB9871,D22045,1
AB9871,D20189,1
AB9871,8DDDBE,1
AB9871,7F8D17,1
AB9871,13D4CA,1
AB9871,AB87B4,1
AB9871,9A51A6,1
AB9871,7F8D17,1
AB9871,899ABB,1
AB9871,AB87B4,1
AB9871,BE54E4,1
AB9871,D22045,1
AB9871,36209E,1
AB9871,F1D9C2,1
AB9871,13D4CA,1
AB9871,9F1CBA,1
AB9871,DD989D,1
AB9871,13D4CA,1
AB9871,DD989D,1
AB9871,F32B5B,1
AB9871,7E5A53,1
AB9871,899ABB,1
AB9871,166DD9,1
AB9871,D14347,1
AB9871,9A51A6,1
AB9871,B34C23,1
AB9871,7A193D,1
AB9871,AB87B4,1
AB9871,60DDEA,1
AB9871,90E91D,1
AB9871,D22045,1
AB9871,7A193D,1
AB9871,60DDEA,1
AB9871,D14347,1
AB9871,AB87B4,1
AB9871,D22045,1
AB9871,47A039,1
AB9871,7A9BF3,1
